time_s,speed_kmh,throttle,brake,ems_mode,selector_mode,selector_auto,soc_pct,i_batt_a,v_oc_v,v_batt_v,v_bus_v,p_batt_kw,t_batt_c,dcdc_eff_pct,ice_on,ice_rpm,ice_torque_nm,t_coolant_c,mg1_rpm,mg1_torque_nm,mg2_rpm,mg2_torque_nm,mg2_eff_pct,fuel_rate_gs,fuel_total_g,p_friction_kw,wheel_torque_nm
106.9,176.45814780158955,0.4,0.0,HYBRID,AUTO,True,80.0,-41.127431860624746,213.83878173909298,218.6502350692122,500.0,-8.992522644118617,55.37557499876576,96.8,1,2493.5,26.73803043943842,54.41773583871,1597.1830218743344,-68.13545344760334,12715.86404128206,0.5592425369913729,92.27784455977715,0.5060219476174389,94.35872391271151,4.296425175,313.02943585556983
106.95,176.4693363745602,0.4,0.0,HYBRID,AUTO,True,80.0,-41.126396573595336,213.83857643050945,218.6495411695425,500.0,-8.992267740773244,55.378630146243836,96.8,1,2493.5,26.73803043943842,54.422502838350354,1597.0653804960139,-68.13545344760334,12716.670308232518,0.5588355331442996,92.27697448752848,0.5060096059645992,94.3840558514352,4.296425175,313.0259308149556
107.0,176.48051038853023,0.4,0.0,HYBRID,AUTO,True,80.0,-41.12536281355752,213.83837114879935,218.64884757001985,500.0,-8.992013185083291,55.38168489385018,96.8,1,2493.5,26.73803043943842,54.42723810595805,1596.9478921971715,-68.13545344760334,12717.475526037468,0.5584291104123152,92.2761055474512,0.5059973464222017,94.40938717457664,4.296425175,313.0224307787952
107.05000000000001,176.49166986179281,0.4,0.0,HYBRID,AUTO,True,80.0,-41.12433057840841,213.83816589394203,218.64815427028083,500.0,-8.991758976569878,55.38473924189282,96.8,1,2493.5,26.73803043943842,54.43194168654855,1596.8305567854634,-68.13545344760334,12718.279696015148,0.5580232679192275,92.27523773812277,0.505985168873765,94.43471788624318,4.296425175,313.0189357395431
107.10000000000001,176.50281481262002,0.4,0.0,HYBRID,AUTO,True,80.0,-41.12329986604808,213.83796066591674,218.64746126996232,500.0,-8.991505114754803,55.387793190679396,96.8,1,2493.5,26.73803043943842,54.43661362508004,1596.7133740687705,-68.13545344760334,12719.082819482275,0.5576180047902948,92.27437105812228,0.5059730732029564,94.46004799053632,4.296425175,313.0154456896662
107.15,176.51394525926256,0.4,0.0,HYBRID,AUTO,True,80.0,-41.12227067437933,213.8377554647029,218.64676856870193,500.0,-8.991251599160531,55.39084674051711,96.8,1,2493.5,26.73803043943842,54.44125396645345,1596.596343855196,-68.13545344760334,12719.88489775403,0.5572133201522225,92.27350550603045,0.505961059293591,94.48537749155182,4.296425175,313.0119606216438
107.2,176.52506121994992,0.4,0.0,HYBRID,AUTO,True,80.0,-41.12124300130772,213.83755029027984,218.6460761661376,500.0,-8.990998429310183,55.393899891712735,96.8,1,2493.5,26.73803043943842,54.44586275551249,1596.4794659530683,-68.13545344760334,12720.685932144048,0.5568092131331632,92.27264108042972,0.5059491270296319,94.51070639337962,4.296425175,313.00848052796783
107.25,176.5361627128903,0.4,0.0,HYBRID,AUTO,True,80.0,-41.120216844742174,213.837345142627,218.64538406190798,500.0,-8.990745604727575,55.39695264457263,96.8,1,2493.5,26.73803043943842,54.450440037043826,1596.3627401709384,-68.13545344760334,12721.485923964456,0.5564056828627117,92.27177777990411,0.5059372762951901,94.5360347001038,4.296425175,313.0050054011424
107.30000000000001,176.5472497562708,0.4,0.0,HYBRID,AUTO,True,80.0,-41.119192202593965,213.8371400217238,218.6446922556521,500.0,-8.990493124937153,55.4000049994027,96.8,1,2493.5,26.73803043943842,54.45498585577701,1596.24616631758,-68.13545344760334,12722.284874525834,0.5560027284719032,92.27091560303933,0.5059255069745241,94.56136241580268,4.296425175,313.00153523368414
107.35000000000001,176.55832236825714,0.4,0.0,HYBRID,AUTO,True,80.0,-41.11816907277762,213.83693492754972,218.64400074700967,500.0,-8.99024098946405,55.40305695650844,96.8,1,2493.5,26.73803043943842,54.45950025638465,1596.1297442019898,-68.13545344760334,12723.082785137241,0.5556003490932115,92.27005454842269,0.5059138189520395,94.58668954454878,4.296425175,312.9980700181222
107.4,176.56938056699408,0.4,0.0,HYBRID,AUTO,True,80.0,-41.117147453210535,213.83672986008423,218.6433095356208,500.0,-8.989989197834054,55.40610851619494,96.8,1,2493.5,26.73803043943842,54.46398328348243,1596.013473633387,-68.13545344760334,12723.87965710622,0.5551985438605427,92.26919461464324,0.5059022121122901,94.61201609040886,4.296425175,312.9946097469978
107.45,176.58042437060507,0.4,0.0,HYBRID,AUTO,True,80.0,-41.11612734181272,213.83652481930693,218.64261862112625,500.0,-8.989737749573623,55.40915967876683,96.8,1,2493.5,26.73803043943842,54.46843498162919,1595.897354421214,-68.13545344760334,12724.675491738766,0.5547973119092371,92.26833580029154,0.5058906863399759,94.63734205744385,4.296425175,312.9911544128648
107.5,176.59145379719254,0.4,0.0,HYBRID,AUTO,True,80.0,-41.11510873650756,213.8363198051973,218.64192800316715,500.0,-8.989486644209865,55.41221044452832,96.8,1,2493.5,26.73803043943842,54.47285539532698,1595.7813863751342,-68.13545344760334,12725.470290339379,0.5543966523760628,92.26747810395996,0.5058792415199441,94.66266744970896,4.296425175,312.9877040082891
107.55000000000001,176.60246886483765,0.4,0.0,HYBRID,AUTO,True,80.0,-41.114091635220746,213.8361148177349,218.64123768138523,500.0,-8.989235881270558,55.41526081378324,96.8,1,2493.5,26.73803043943842,54.47724456902117,1595.6655693050338,-68.13545344760334,12726.264054211017,0.5539965643992171,92.26662152424238,0.505867877537189,94.68799227125363,4.296425175,312.98425852584904
107.60000000000001,176.61346959160068,0.4,0.0,HYBRID,AUTO,True,80.0,-41.11307603588141,213.83590985689943,218.6405476554229,500.0,-8.988985460284134,55.41831078683496,96.8,1,2493.5,26.73803043943842,54.48160254710046,1595.549903021021,-68.13545344760334,12727.05678465513,0.5535970471183165,92.26576605973436,0.5058565942768509,94.71331652612156,4.296425175,312.98081795813516
107.65,176.62445599552063,0.4,0.0,HYBRID,AUTO,True,80.0,-41.11206193642086,213.83570492267046,218.63985792492275,500.0,-8.988735380779692,55.42136036398643,96.8,1,2493.5,26.73803043943842,54.48592937389695,1595.434387333425,-68.13545344760334,12727.848482971638,0.5531980996744033,92.26491170903309,0.5058453916242168,94.73864021835062,4.296425175,312.9773822977503
107.7,176.63542809461558,0.4,0.0,HYBRID,AUTO,True,80.0,-41.11104933477403,213.83550001502772,218.63916848952823,500.0,-8.988485642286973,55.4244095455402,96.8,1,2493.5,26.73803043943842,54.49022509368628,1595.3190220527965,-68.13545344760334,12728.639150458954,0.552799721209936,92.26405847073742,0.5058342694647199,94.76396335197309,4.296425175,312.97395153730946
